"","aju1A","aju1B","aju1C","aju1D","aju1E","aju1F","aju1G","aju2A","aju2B","aju2C","aju2D","aju2E","aju2F","aju3A","aju3B","aju3C","aju3D","aju3E","aju4A","aju4B","aju4C","aju4D","aju4E","aju4F","aju5A","aju5B","aju5C","aju5D","aju5E","aju5G","aju6A","aju6B","aju6C","aju6D","aju6E","aju6F","aju7A","aju7B","aju7C","aju7D","aju8A","aju8B","aju8C"
"ASV295",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV350",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV168",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV171",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV199",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,23,0,11,0,0,0,6,0,4,0,0,0,0,0,0,0
"ASV324",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,23,0,0,0,0,0,0,0
"ASV296",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV181",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV279",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0
"ASV196",0,0,0,24,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV222",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV115",0,0,0,0,0,0,121,0,0,0,0,0,7,0,0,17,6,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV178",0,0,0,0,0,0,0,0,0,0,0,0,0,2,89,0,0,51,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,14,0,66,4,0,0,0
"ASV99",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV146",0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV204",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV210",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV186",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV191",0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV126",0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV160",0,0,0,4,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV174",0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV141",0,0,3,7,0,0,9,0,0,0,0,0,0,0,0,234,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV129",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
"ASV202",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV63",0,0,0,234,0,0,550,0,0,0,0,15,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV157",0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV152",214,0,0,0,0,0,0,63,15,15,5,6,4,16,0,0,0,0,39,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
"ASV158",39,0,3,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,61,0,0,127,5,8
"ASV161",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,65,0,0,0,10,232,0,36,0,0,0
"ASV101",425,0,0,0,0,0,0,136,8,10,0,0,0,0,0,0,0,0,405,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
"ASV236",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,10,0,0,0
"ASV229",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,51,0,0
"ASV17",2541,11,0,0,0,0,0,496,351,516,220,256,177,1023,0,0,0,0,2057,193,0,0,0,0,11,763,6,0,0,0,2581,530,2235,4,212,28,103,80,17,76,774,6,22
"ASV46",1097,0,0,0,0,0,0,217,110,183,53,66,0,655,0,0,0,0,827,40,0,0,0,0,21,473,0,0,0,0,359,0,292,0,0,0,0,0,0,0,277,0,0
"ASV175",98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,80,0,0,0,0,0,0,0,0,0,0
"ASV226",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,24,0,0,0
"ASV138",151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,0,0,0,0,0,0,0,0,0,0,0,0
"ASV26",1154,5,0,0,0,0,0,560,668,579,193,509,385,864,0,0,0,0,777,156,0,0,0,0,55,340,0,0,0,0,2197,249,822,0,167,44,18,31,0,0,284,0,0
"ASV98",232,0,0,0,0,0,0,68,114,85,15,62,55,175,0,0,0,0,141,0,0,0,0,0,0,70,0,0,0,0,21,23,70,0,17,0,0,0,0,0,20,0,0
"ASV166",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,0,64,4,0,0,0,0,0,0,0,0,0
"ASV71",327,0,0,0,0,0,0,133,146,128,0,108,48,264,0,0,0,0,219,22,0,0,0,0,0,107,0,0,0,0,395,0,150,0,0,0,0,0,0,0,55,0,0
"ASV31",1046,0,0,0,0,0,0,521,513,466,194,409,312,485,0,0,0,0,473,0,0,0,0,0,0,245,0,0,0,0,1236,255,798,0,57,0,0,25,0,0,515,0,0
"ASV38",892,0,0,0,0,0,0,418,390,354,148,312,233,730,0,0,0,0,619,79,0,0,0,0,67,244,0,0,0,0,818,38,333,4,52,0,82,27,0,0,182,0,0
"ASV62",545,0,0,0,0,0,0,147,260,211,51,225,82,319,0,0,0,0,295,21,0,0,0,0,0,80,0,0,0,0,355,0,74,0,0,0,0,0,0,10,0,0,0
"ASV342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9,0,0,0,0
"ASV92",551,19,0,0,4,0,0,4,0,0,3,0,0,0,0,0,10,0,2,45,0,0,0,5,0,0,4,0,0,0,112,141,231,0,12,0,0,2,0,23,61,21,12
"ASV284",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,16,0,0,0,5,0,0,0,0,0,0
"ASV116",9,0,0,0,0,0,0,0,4,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,4,0,0,2,0,0,31,19,129,344,25,27
"ASV218",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV107",36,0,0,0,0,0,0,21,20,66,12,18,65,6,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,235,0,54,0,0,0,24,72,161,5,134,0,0
"ASV289",0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
"ASV40",0,0,0,58,0,466,747,0,0,0,0,0,0,0,0,42,394,1158,0,0,0,0,20,0,0,0,0,637,8,3,0,0,0,435,0,0,0,0,0,0,0,0,0
"ASV216",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV155",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV91",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1237,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV283",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
"ASV304",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV4",556,12,9,0,0,0,0,356,135,227,90,132,166,1625,9,0,0,10,345,16,0,0,0,0,37,96,0,0,0,0,1217,179,574,0,53,4,4969,8295,1953,4016,3560,2826,5145
"ASV34",162,0,0,0,0,0,0,56,0,0,0,0,0,290,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,323,0,130,0,0,0,927,1713,341,807,628,502,984
"ASV55",0,0,6,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,520,822,208,422,341,306,463
"ASV64",197,0,0,0,0,0,0,134,0,37,22,0,41,71,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,274,0,90,0,0,0,387,869,69,201,0,0,0
"ASV42",0,0,0,0,0,0,0,409,7,8,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2959,1643,49,167,0,0,0
"ASV48",119,0,0,0,0,0,0,27,0,9,0,20,25,148,0,0,0,0,32,10,0,0,0,0,20,9,0,0,0,0,381,12,35,0,0,0,791,1748,234,691,210,62,47
"ASV79",240,0,0,0,0,0,0,14,62,65,38,36,79,25,0,0,0,0,34,6,0,0,0,0,0,6,0,0,0,0,356,32,74,0,10,0,100,39,8,326,145,27,60
"ASV253",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,20,0,0,0,0,0,0,0,0,0,0
"ASV87",0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,26,0,0,0,151,620,77,454,40,0,57
"ASV159",0,0,0,0,0,0,0,0,0,0,0,0,0,244,97,23,0,0,0,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV75",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,1878,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV133",0,134,220,27,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV11",0,198,1515,578,0,167,145,0,0,0,0,93,81,0,0,240,274,0,0,0,356,182,168,450,0,0,627,0,1964,269,0,0,3201,1362,5017,1590,0,0,0,0,0,0,0
"ASV29",0,2395,43,12,0,0,0,0,0,0,0,0,0,0,0,29,316,0,0,0,32,126,68,0,0,0,97,91,358,43,0,0,179,1991,534,2596,0,0,0,0,0,0,0
"ASV78",0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,44,0,262,278,0,0,0,419,48,465,0,0,0,0,0,0,0
