SampleID,CatID,SampleDay,SampleDate,quant_reading,sample.type,is.neg,Sample_or_Control
aju1A,1,fresh,6.27.19,25.2,TRUE,FALSE,True Sample
aju1B,1,Day 1,6.28.19,50.8,TRUE,FALSE,True Sample
aju1C,1,Day 2,6.29.19,48.4,TRUE,FALSE,True Sample
aju1D,1,Day 3,6.30.19,21.2,TRUE,FALSE,True Sample
aju1E,1,Day 4,7.1.19,41.2,TRUE,FALSE,True Sample
aju1F,1,Day 5,7.2.19,21.6,TRUE,FALSE,True Sample
aju1G,1,Day 6,7.3.19,40.4,TRUE,FALSE,True Sample
aju1H,1,Day 7,7.4.19,26,TRUE,FALSE,True Sample
aju2A,2,fresh,6.30.19,26,TRUE,FALSE,True Sample
aju2B,2,Day 1,7.1.19,53.6,TRUE,FALSE,True Sample
aju2C,2,Day 2,7.2.19,52.4,TRUE,FALSE,True Sample
aju2D,2,Day 3,7.3.19,42.6,TRUE,FALSE,True Sample
aju2E,2,Day 4,7.4.19,13,TRUE,FALSE,True Sample
aju2F,2,Day 5,7.5.19,33,TRUE,FALSE,True Sample
aju2G,2,Day 6,7.6.19,0.05,TRUE,FALSE,True Sample
aju2H,2,Day 7,7.7.19,36,TRUE,FALSE,True Sample
aju3A,3,fresh,7.3.19,35.4,TRUE,FALSE,True Sample
aju3B,3,Day 1,7.4.19,10.3,TRUE,FALSE,True Sample
aju3C,3,Day 2,7.5.19,19.6,TRUE,FALSE,True Sample
aju3D,3,Day 3,7.6.19,26.2,TRUE,FALSE,True Sample
aju3E,3,Day 4,7.7.19,4.26,TRUE,FALSE,True Sample
aju4A,4,fresh,7.10.19,25.4,TRUE,FALSE,True Sample
aju4B,4,Day 1,7.11.19,16.7,TRUE,FALSE,True Sample
aju4C,4,Day 2,7.12.19,23.4,TRUE,FALSE,True Sample
aju4D,4,Day 3,7.13.19,36.2,TRUE,FALSE,True Sample
aju4E,4,Day 4,7.14.19,31,TRUE,FALSE,True Sample
aju4F,4,Day 5,7.15.19,35.4,TRUE,FALSE,True Sample
aju5A,5,fresh,7.10.19,9.76,TRUE,FALSE,True Sample
aju5B,5,Day 1,7.11.19,19.2,TRUE,FALSE,True Sample
aju5C,5,Day 2,7.12.19,38.6,TRUE,FALSE,True Sample
aju5D,5,Day 3,7.13.19,53.2,TRUE,FALSE,True Sample
aju5E,5,Day 4,7.14.19,46,TRUE,FALSE,True Sample
aju5G,5,Day 6,7.16.19,30.6,TRUE,FALSE,True Sample
aju6A,6,fresh,7.11.19,36.4,TRUE,FALSE,True Sample
aju6B,6,Day 1,7.12.19,24.6,TRUE,FALSE,True Sample
aju6C,6,Day 2,7.13.19,42.8,TRUE,FALSE,True Sample
aju6D,6,Day 3,7.14.19,24.4,TRUE,FALSE,True Sample
aju6E,6,Day 4,7.15.19,17.4,TRUE,FALSE,True Sample
aju6F,6,Day 5,7.16.19,29,TRUE,FALSE,True Sample
aju7A,7,fresh,7.13.19,27.4,TRUE,FALSE,True Sample
aju7B,7,Day 1,7.14.19,50.2,TRUE,FALSE,True Sample
aju7C,7,Day 2,7.15.19,3.62,TRUE,FALSE,True Sample
aju7D,7,Day 3,7.16.19,41.6,TRUE,FALSE,True Sample
aju8A,8,fresh,7.14.19,27.4,TRUE,FALSE,True Sample
aju8B,8,Day 1,7.15.19,31.2,TRUE,FALSE,True Sample
aju8C,8,Day 2,7.16.19,41.8,TRUE,FALSE,True Sample
ajuEN072219,NC,NegCtrl,7.22.19,0.05,FALSE,TRUE,Control Sample
ajuEN072719,NC,NegCtrl,7.27.19,0.37,FALSE,TRUE,Control Sample
ajuNTC072319,NC,NegCtrl,7.23.19,0.1,FALSE,TRUE,Control Sample
ajuNTC072919,NC,NegCtrl,7.29.19,0.196,FALSE,TRUE,Control Sample
ajuNTC073019,NC,NegCtrl,7.30.19,0.156,FALSE,TRUE,Control Sample
