Kingdom,Phylum,Class,Order,Family,Genus,Species,ASV,ASV.1
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA,ASV17,ASV17
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA,ASV46,ASV46
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA,ASV26,ASV26
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA,ASV71,ASV71
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA,ASV38,ASV38
Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,NA,ASV4,ASV4
Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,NA,ASV34,ASV34
Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,NA,ASV64,ASV64
Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,NA,ASV48,ASV48
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae_1,Bacillus,infantis,ASV12,ASV12
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae_1,Bacillus,NA,ASV1,ASV1
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae_1,Bacillus,NA,ASV13,ASV13
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto,NA,ASV86,ASV86
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Eisenbergiella,NA,ASV119,ASV119
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium_XlVa,glycyrrhizinilyticum,ASV88,ASV88
